"DE: Food, beverages and tobacco / final energy consumption",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Food, beverages and tobacco","4,506.6","4,496.6","4,611.8","4,797.6","4,852.0","4,837.1","4,798.1","4,905.8","4,778.4","4,716.0","4,812.9","4,928.1","4,984.4","4,940.9","5,001.3","4,886.2"
Lighting,64.3,64.1,65.8,68.4,69.2,69.0,68.4,69.9,68.1,67.2,68.6,70.3,71.1,70.4,71.3,69.7
Air compressors,52.3,52.2,53.5,55.6,56.3,56.1,55.7,56.9,55.4,54.7,55.8,57.2,57.8,57.3,58.0,56.7
Motor drives,126.0,125.7,128.9,134.1,135.6,135.2,134.1,137.1,133.6,131.8,134.5,137.7,139.3,138.1,139.8,136.6
Fans and pumps,105.8,105.6,108.3,112.6,113.9,113.6,112.7,115.2,112.2,110.7,113.0,115.7,117.0,116.0,117.4,114.7
Low enthalpy heat,85.7,85.5,87.7,91.2,92.2,91.9,91.2,93.3,90.8,89.6,91.5,93.7,94.7,93.9,95.1,92.9
Diesel oil (incl. biofuels),17.1,17.1,17.5,18.2,18.4,18.4,18.2,18.7,18.2,17.9,18.3,18.7,18.9,18.8,19.0,18.6
Natural gas (incl. biogas),25.7,25.6,26.3,27.4,27.7,27.6,27.4,28.0,27.2,26.9,27.4,28.1,28.4,28.2,28.5,27.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,42.8,42.7,43.8,45.6,46.1,46.0,45.6,46.6,45.4,44.8,45.7,46.8,47.4,47.0,47.5,46.4
Food: Oven (direct heat),272.3,271.7,278.6,289.8,293.1,292.2,289.9,296.4,288.7,284.9,290.8,297.7,301.1,298.5,302.2,295.2
Food: Direct Heat - Thermal,122.5,122.2,125.4,130.4,131.9,131.5,130.4,133.4,129.9,128.2,130.8,134.0,135.5,134.3,136.0,132.8
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,21.8,25.3,24.4,7.0,4.7,4.7,5.2,24.3,3.8,3.5,11.3,4.7,2.3,1.7,1.7,1.4
Diesel oil (incl. biofuels),21.0,19.6,18.0,19.9,18.0,18.0,18.1,12.6,15.1,15.4,11.8,10.8,9.2,7.3,5.3,4.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),79.7,77.3,82.9,103.5,109.3,108.9,107.1,96.5,111.0,109.4,107.7,118.5,124.0,125.2,128.9,127.3
Food: Direct Heat - Electric,149.4,149.0,152.9,159.0,160.8,160.3,159.0,162.6,158.4,156.3,159.5,163.3,165.2,163.8,165.8,162.0
Food: Direct Heat - Microwave,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Food: Specific process heat,226.9,226.4,232.2,241.5,244.3,243.5,241.6,247.0,240.6,237.4,242.3,248.1,250.9,248.8,251.8,246.0
Food: Process Heat - Thermal,168.2,167.8,172.1,179.0,181.1,180.5,179.1,183.1,178.3,176.0,179.6,183.9,186.0,184.4,186.6,182.3
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,29.9,34.7,33.5,9.6,6.4,6.4,7.2,33.3,5.2,4.8,15.6,6.4,3.2,2.4,2.4,2.0
Diesel oil (incl. biofuels),28.8,27.0,24.8,27.3,24.7,24.7,24.9,17.3,20.7,21.1,16.2,14.8,12.6,10.1,7.3,5.6
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),109.4,106.1,113.8,142.1,150.0,149.4,147.0,132.5,152.4,150.1,147.8,162.7,170.2,171.9,177.0,174.7
Food: Process Heat - Electric,57.2,57.1,58.6,60.9,61.6,61.4,60.9,62.3,60.7,59.9,61.1,62.6,63.3,62.7,63.5,62.0
Food: Process Heat - Microwave,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.7,1.6
Food: Steam processing,"2,421.8","2,374.7","2,399.6","2,497.8","2,557.5","2,502.2","2,439.5","2,532.1","2,358.9","2,323.6","2,429.2","2,502.4","2,530.3","2,508.4","2,536.1","2,431.7"
Solids,233.5,236.9,237.5,211.2,260.6,200.8,222.8,174.6,161.7,177.3,182.5,200.1,214.5,188.3,203.8,185.8
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),368.4,351.9,338.8,322.1,287.9,287.8,281.4,251.9,240.5,245.6,230.6,202.9,177.2,155.6,125.6,110.5
Residual fuel oil,275.3,270.5,169.6,191.5,212.7,197.5,175.4,168.6,152.3,94.8,41.0,36.6,34.9,13.1,15.7,22.6
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),"1,433.5","1,408.1","1,549.3","1,640.5","1,659.6","1,655.0","1,582.5","1,713.2","1,612.2","1,606.3","1,818.8","1,841.9","1,856.6","1,898.8","1,872.4","1,863.2"
Derived gases,44.1,39.3,37.6,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,13.6,16.3,23.4,42.7,41.8,40.5,54.9,34.2,33.9,51.0,36.6,93.2,35.6
Steam distributed,67.0,67.9,66.8,118.3,120.1,137.7,134.6,180.2,151.8,144.6,122.1,187.0,196.2,216.0,225.4,213.9
Food: Drying,431.1,430.1,441.2,458.9,464.1,462.7,459.0,469.3,457.1,451.1,460.4,471.4,476.8,472.6,478.4,467.4
Food: Thermal drying,172.4,172.1,176.5,183.6,185.7,185.1,183.6,187.7,182.8,180.4,184.2,188.6,190.7,189.1,191.4,187.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,30.7,35.6,34.4,9.9,6.5,6.5,7.4,34.1,5.3,4.9,16.0,6.5,3.3,2.5,2.5,2.0
Diesel oil (incl. biofuels),29.6,27.6,25.4,28.0,25.3,25.3,25.5,17.7,21.2,21.6,16.6,15.2,12.9,10.3,7.5,5.8
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),112.2,108.8,116.7,145.7,153.8,153.2,150.7,135.8,156.3,153.9,151.6,166.8,174.5,176.3,181.5,179.2
Food: Steam drying,186.2,185.8,190.6,198.3,200.5,199.9,198.3,202.7,197.5,194.9,198.9,203.6,206.0,204.2,206.7,201.9
Solids,18.0,18.5,18.9,16.8,20.4,16.0,18.1,14.0,13.5,14.9,14.9,16.3,17.5,15.3,16.6,15.4
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),28.3,27.5,26.9,25.6,22.6,23.0,22.9,20.2,20.1,20.6,18.9,16.5,14.4,12.7,10.2,9.2
Residual fuel oil,21.2,21.2,13.5,15.2,16.7,15.8,14.3,13.5,12.8,8.0,3.4,3.0,2.8,1.1,1.3,1.9
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),110.2,110.2,123.0,130.2,130.1,132.2,128.6,137.2,135.0,134.7,148.9,149.9,151.1,154.6,152.6,154.7
Derived gases,3.4,3.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,1.1,1.3,1.9,3.5,3.3,3.4,4.6,2.8,2.8,4.1,3.0,7.6,3.0
Steam distributed,5.1,5.3,5.3,9.4,9.4,11.0,10.9,14.4,12.7,12.1,10.0,15.2,16.0,17.6,18.4,17.8
Food: Electric drying,25.9,25.8,26.5,27.5,27.8,27.8,27.5,28.2,27.4,27.1,27.6,28.3,28.6,28.4,28.7,28.0
Food: Freeze drying,43.1,43.0,44.1,45.9,46.4,46.3,45.9,46.9,45.7,45.1,46.0,47.1,47.7,47.3,47.8,46.7
Food: Microwave drying,3.4,3.4,3.5,3.7,3.7,3.7,3.7,3.8,3.7,3.6,3.7,3.8,3.8,3.8,3.8,3.7
Food: Process cooling and refrigeration,390.2,389.4,399.4,415.4,420.2,418.9,415.5,424.8,413.8,408.4,416.8,426.7,431.6,427.9,433.1,423.1
Food: Thermal cooling,97.6,97.3,99.8,103.9,105.0,104.7,103.9,106.2,103.4,102.1,104.2,106.7,107.9,107.0,108.3,105.8
Food: Steam cooling,31.2,31.2,31.9,33.2,33.6,33.5,33.2,34.0,33.1,32.7,33.3,34.1,34.5,34.2,34.6,33.8
Solids,3.0,3.1,3.2,2.8,3.4,2.7,3.0,2.3,2.3,2.5,2.5,2.7,2.9,2.6,2.8,2.6
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),4.7,4.6,4.5,4.3,3.8,3.9,3.8,3.4,3.4,3.5,3.2,2.8,2.4,2.1,1.7,1.5
Residual fuel oil,3.5,3.5,2.3,2.5,2.8,2.6,2.4,2.3,2.1,1.3,0.6,0.5,0.5,0.2,0.2,0.3
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),18.5,18.5,20.6,21.8,21.8,22.2,21.6,23.0,22.6,22.6,25.0,25.1,25.3,25.9,25.6,25.9
Derived gases,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.2,0.2,0.3,0.6,0.6,0.6,0.8,0.5,0.5,0.7,0.5,1.3,0.5
Steam distributed,0.9,0.9,0.9,1.6,1.6,1.8,1.8,2.4,2.1,2.0,1.7,2.6,2.7,2.9,3.1,3.0
Food: Electric cooling,261.5,260.9,267.6,278.3,281.5,280.6,278.4,284.6,277.2,273.6,279.2,285.9,289.2,286.7,290.2,283.5
Food: Electric machinery,330.4,371.3,416.8,432.1,405.6,451.7,490.7,463.9,559.2,556.5,510.0,507.2,513.6,508.9,518.1,552.3
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Food, beverages and tobacco",100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%
Air compressors,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%
Motor drives,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%
Fans and pumps,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%
Low enthalpy heat,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%
Food: Oven (direct heat),6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%
Food: Direct Heat - Thermal,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%
Food: Direct Heat - Electric,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%
Food: Direct Heat - Microwave,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Food: Specific process heat,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%
Food: Process Heat - Thermal,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%
Food: Process Heat - Electric,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%
Food: Process Heat - Microwave,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Food: Steam processing,53.74%,52.81%,52.03%,52.06%,52.71%,51.73%,50.84%,51.61%,49.37%,49.27%,50.47%,50.78%,50.76%,50.77%,50.71%,49.77%
Food: Drying,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%
Food: Thermal drying,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%
Food: Steam drying,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%
Food: Electric drying,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%
Food: Freeze drying,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%
Food: Microwave drying,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Food: Process cooling and refrigeration,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%
Food: Thermal cooling,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%
Food: Steam cooling,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%
Food: Electric cooling,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%
Food: Electric machinery,7.33%,8.26%,9.04%,9.01%,8.36%,9.34%,10.23%,9.46%,11.70%,11.80%,10.60%,10.29%,10.30%,10.30%,10.36%,11.30%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Food, beverages and tobacco",159.58,159.35,158.50,158.05,157.22,155.88,154.33,153.26,152.59,150.55,150.50,150.32,148.92,145.75,146.00,144.01
Lighting,2.28,2.27,2.26,2.25,2.24,2.22,2.20,2.18,2.18,2.15,2.15,2.14,2.12,2.08,2.08,2.05
Air compressors,1.85,1.85,1.84,1.83,1.82,1.81,1.79,1.78,1.77,1.75,1.75,1.74,1.73,1.69,1.69,1.67
Motor drives,4.46,4.45,4.43,4.42,4.39,4.36,4.31,4.28,4.26,4.21,4.21,4.20,4.16,4.07,4.08,4.02
Fans and pumps,3.75,3.74,3.72,3.71,3.69,3.66,3.62,3.60,3.58,3.53,3.53,3.53,3.50,3.42,3.43,3.38
Low enthalpy heat,3.03,3.03,3.01,3.00,2.99,2.96,2.93,2.91,2.90,2.86,2.86,2.86,2.83,2.77,2.78,2.74
Food: Oven (direct heat),9.64,9.63,9.58,9.55,9.50,9.42,9.32,9.26,9.22,9.10,9.09,9.08,9.00,8.81,8.82,8.70
Food: Specific process heat,8.03,8.02,7.98,7.96,7.92,7.85,7.77,7.72,7.68,7.58,7.58,7.57,7.50,7.34,7.35,7.25
Food: Steam processing,85.75,84.16,82.47,82.29,82.87,80.64,78.46,79.10,75.33,74.18,75.96,76.33,75.60,74.00,74.04,71.67
Food: Drying,15.26,15.24,15.16,15.12,15.04,14.91,14.76,14.66,14.60,14.40,14.40,14.38,14.24,13.94,13.97,13.78
Food: Process cooling and refrigeration,13.82,13.80,13.73,13.69,13.61,13.50,13.36,13.27,13.21,13.04,13.03,13.02,12.90,12.62,12.64,12.47
Food: Electric machinery,11.70,13.16,14.33,14.23,13.14,14.56,15.78,14.49,17.86,17.77,15.95,15.47,15.35,15.01,15.13,16.28
