DE: Non-metallic mineral products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cement,"2,726.9","2,466.2","2,367.7","2,451.2","2,431.0","2,324.0","2,421.3","2,478.7","2,273.8","2,080.3","1,981.6","2,172.2","2,099.2","2,025.2","1,987.0","2,041.9"
Lighting,14.4,13.0,12.5,12.9,12.8,12.2,12.8,13.1,12.0,11.0,10.4,11.4,11.1,10.7,10.5,10.8
Air compressors,5.7,5.2,5.0,5.2,5.1,4.9,5.1,5.2,4.8,4.4,4.2,4.6,4.4,4.3,4.2,4.3
Motor drives,24.4,22.1,21.2,22.0,21.8,20.8,21.7,22.2,20.4,18.6,17.7,19.5,18.8,18.1,17.8,18.3
Fans and pumps,2.9,2.6,2.5,2.6,2.6,2.4,2.6,2.6,2.4,2.2,2.1,2.3,2.2,2.1,2.1,2.2
Low enthalpy heat,8.6,7.8,7.5,7.7,7.7,7.3,7.7,7.8,7.2,6.6,6.3,6.9,6.6,6.4,6.3,6.5
Diesel oil (incl. biofuels),1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.4,1.3,1.3,1.4,1.3,1.3,1.3,1.3
Natural gas (incl. biogas),2.6,2.3,2.2,2.3,2.3,2.2,2.3,2.4,2.2,2.0,1.9,2.1,2.0,1.9,1.9,1.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,4.3,3.9,3.7,3.9,3.8,3.7,3.8,3.9,3.6,3.3,3.1,3.4,3.3,3.2,3.1,3.2
"Cement: Grinding, milling of raw material",84.4,76.4,73.3,75.9,75.3,72.0,75.0,76.8,70.4,64.4,61.4,67.3,65.0,62.7,61.5,63.2
Cement: Pre-heating and pre-calcination,954.8,863.5,829.0,858.2,851.2,813.7,847.7,867.9,796.1,728.4,693.8,760.6,735.0,709.1,695.7,714.9
Cement: pre-processing - Fuel use,894.8,809.3,776.9,804.4,797.7,762.6,794.5,813.4,746.1,682.6,650.3,712.8,688.9,664.6,652.0,670.1
Solids,687.7,625.9,565.2,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,207.1,183.4,211.7,235.0,296.4,305.1,241.5,272.1,235.0,198.1,173.0,170.2,193.2,216.9,224.4,237.4
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,479.7,501.3,457.5,553.0,541.3,511.1,484.6,477.2,542.7,495.7,447.7,427.6,432.7
Cement: pre-processing - Steam,59.9,54.2,52.0,53.9,53.4,51.1,53.2,54.5,50.0,45.7,43.5,47.7,46.1,44.5,43.7,44.9
Solids,22.9,17.1,17.3,51.5,42.4,50.5,53.2,54.5,50.0,45.7,41.0,46.6,45.0,44.5,43.7,44.9
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derived gases,33.4,29.6,28.4,0.6,0.6,0.6,0.0,0.0,0.0,0.0,2.6,1.1,1.1,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,3.7,7.5,6.4,1.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cement: Clinker production (kilns),"1,552.7","1,404.2","1,348.1","1,395.7","1,384.2","1,323.2","1,378.7","1,411.3","1,294.7","1,184.5","1,128.3","1,236.9","1,195.3","1,153.2","1,131.4","1,162.7"
Solids,"1,165.6",904.2,849.5,"1,395.7","1,278.6","1,014.2","1,185.6",920.2,871.0,714.9,695.6,792.0,691.7,404.7,351.2,396.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,387.0,481.7,498.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,105.6,309.1,193.1,491.1,423.7,469.6,432.7,444.8,503.6,748.5,780.2,766.7
"Cement: Grinding, packaging",79.0,71.4,68.6,71.0,70.4,67.3,70.1,71.8,65.9,60.3,57.4,62.9,60.8,58.7,57.6,59.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ceramics & other NMM,"1,408.0","1,227.4","1,453.8","1,498.1","1,722.5","1,615.5","1,680.5","1,978.0","1,941.3","1,794.2","1,979.2","2,035.7","1,945.1","2,038.6","2,118.6","2,003.2"
Lighting,7.5,6.5,7.7,8.0,9.2,8.6,8.9,10.5,10.3,9.5,10.5,10.8,10.4,10.8,11.3,10.7
Air compressors,7.7,6.7,8.0,8.2,9.4,8.8,9.2,10.8,10.6,9.8,10.8,11.1,10.6,11.1,11.6,11.0
Motor drives,10.7,9.3,11.0,11.4,13.1,12.2,12.7,15.0,14.7,13.6,15.0,15.4,14.7,15.5,16.1,15.2
Fans and pumps,5.5,4.8,5.7,5.8,6.7,6.3,6.5,7.7,7.6,7.0,7.7,7.9,7.6,7.9,8.3,7.8
Low enthalpy heat,5.7,5.0,5.9,6.1,7.0,6.5,6.8,8.0,7.8,7.3,8.0,8.2,7.9,8.2,8.6,8.1
Diesel oil (incl. biofuels),1.1,1.0,1.2,1.2,1.4,1.3,1.4,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.6
Natural gas (incl. biogas),1.7,1.5,1.8,1.8,2.1,2.0,2.0,2.4,2.4,2.2,2.4,2.5,2.4,2.5,2.6,2.4
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,2.8,2.5,2.9,3.0,3.5,3.3,3.4,4.0,3.9,3.6,4.0,4.1,3.9,4.1,4.3,4.0
Ceramics: Mixing of raw material,64.2,60.5,70.9,61.9,71.4,67.4,70.5,84.2,79.6,73.9,82.5,87.7,83.0,85.5,87.6,83.6
Ceramics: Drying and sintering of raw material,216.7,180.0,214.7,243.2,279.2,260.9,270.7,316.3,316.3,291.8,319.9,323.3,310.5,328.5,343.8,323.9
Ceramics: Thermal drying and sintering,188.3,155.2,185.4,213.0,244.4,228.3,236.8,276.3,277.1,255.6,279.9,282.3,271.2,287.4,301.0,282.5
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,17.1,28.2,67.9,16.9,50.2,6.8,0.0,0.0,0.0,25.3,22.0,15.4,11.0,10.8
Diesel oil (incl. biofuels),188.3,155.2,168.3,184.8,176.5,211.4,186.5,269.5,277.1,255.6,279.9,207.7,141.1,116.2,81.6,77.8
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3,108.1,155.8,208.5,193.8
Ceramics: Steam drying and sintering,28.4,24.8,29.3,30.2,34.8,32.6,33.9,39.9,39.2,36.2,39.9,41.1,39.3,41.1,42.8,40.4
Solids,0.0,0.0,0.0,0.0,0.0,4.8,4.9,13.4,14.5,11.4,17.0,18.6,18.8,20.2,23.5,17.9
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,5.9,5.5,9.5,10.8,9.0,13.0,15.7,14.8,12.0,10.5,8.4,7.6,4.2,3.5,3.3,4.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,22.5,19.2,19.8,19.4,25.8,14.8,13.4,11.7,12.6,14.3,14.5,14.8,16.2,17.5,16.0,18.5
Ceramics: Microwave drying and sintering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ceramics: Primary production process,926.5,811.9,960.9,979.9,"1,126.8","1,057.3","1,100.2","1,296.0","1,269.2","1,173.3","1,295.1","1,334.8","1,274.7","1,334.5","1,385.7","1,311.0"
Ceramics: Thermal kiln,866.8,755.7,895.0,922.3,"1,060.4",994.6,"1,034.6","1,217.7","1,195.1","1,104.6","1,218.4","1,253.2","1,197.5","1,255.0","1,304.3","1,233.2"
Solids,0.0,0.0,0.0,62.7,215.8,131.1,41.7,461.3,537.8,478.2,550.6,596.9,651.2,821.0,929.1,852.7
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,76.2,0.0,259.0,316.8,308.2,262.1,321.6,293.8,255.5,214.0,175.0,157.7,86.5,64.3,60.7,77.2
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),790.6,755.7,635.9,542.8,536.4,601.4,671.3,462.7,401.8,412.5,492.8,498.7,459.8,369.7,314.4,303.3
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceramics: Electric kiln,59.7,56.3,65.9,57.6,66.4,62.7,65.6,78.3,74.1,68.7,76.7,81.6,77.2,79.5,81.5,77.7
Ceramics: Product finishing,163.5,142.7,169.0,173.8,199.8,187.4,195.0,229.5,225.1,208.1,229.6,236.2,225.7,236.5,245.7,232.0
Ceramics: Thermal furnace,96.3,79.4,94.9,109.0,125.1,116.8,121.2,141.4,141.8,130.8,143.3,144.4,138.8,147.0,154.1,144.6
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,60.4,53.0,94.9,109.0,19.9,43.5,7.9,39.5,37.4,39.6,29.7,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),35.9,26.4,0.0,0.0,0.0,0.0,0.0,0.0,35.1,62.4,36.7,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,105.1,73.3,113.2,101.9,69.3,28.8,76.9,144.4,138.8,147.0,154.1,144.6
Ceramics: Electric furnace,67.2,63.3,74.2,64.8,74.7,70.6,73.8,88.1,83.3,77.3,86.3,91.8,86.9,89.4,91.7,87.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Glass production,"2,938.4","2,816.6","2,724.6","2,771.1","2,702.0","2,661.6","2,677.7","2,872.2","2,701.5","2,409.0","2,479.6","2,440.4","2,349.2","2,396.0","2,395.1","2,439.4"
Lighting,19.4,18.6,18.0,18.3,17.8,17.5,17.6,18.9,17.8,15.9,16.3,16.1,15.5,15.8,15.8,16.1
Air compressors,19.9,19.1,18.4,18.8,18.3,18.0,18.1,19.4,18.3,16.3,16.8,16.5,15.9,16.2,16.2,16.5
Motor drives,38.9,37.3,36.1,36.7,35.8,35.3,35.5,38.1,35.8,31.9,32.9,32.3,31.1,31.8,31.7,32.3
Fans and pumps,15.4,14.8,14.3,14.6,14.2,14.0,14.1,15.1,14.2,12.7,13.0,12.8,12.4,12.6,12.6,12.8
Low enthalpy heat,17.5,16.8,16.2,16.5,16.1,15.8,15.9,17.1,16.1,14.3,14.7,14.5,14.0,14.3,14.2,14.5
Diesel oil (incl. biofuels),3.5,3.4,3.2,3.3,3.2,3.2,3.2,3.4,3.2,2.9,2.9,2.9,2.8,2.9,2.8,2.9
Natural gas (incl. biogas),5.2,5.0,4.9,4.9,4.8,4.7,4.8,5.1,4.8,4.3,4.4,4.4,4.2,4.3,4.3,4.4
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,8.7,8.4,8.1,8.2,8.0,7.9,8.0,8.5,8.0,7.2,7.4,7.3,7.0,7.1,7.1,7.3
Glass: Melting tank,"2,209.7","2,055.8","1,997.5","2,154.8","2,098.8","2,062.8","2,071.8","2,212.0","2,105.3","1,875.1","1,922.7","1,871.7","1,807.3","1,854.4","1,861.9","1,888.4"
Glass: Thermal melting tank,"1,945.9","1,763.5","1,720.3","1,951.0","1,898.7","1,862.7","1,868.3","1,987.1","1,909.5","1,699.2","1,736.9","1,675.7","1,622.2","1,672.6","1,685.5","1,703.6"
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,59.3,79.9,11.1,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
