DE: Other Industrial Sectors / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Industrial Sectors,"6,122.2","6,022.2","6,013.5","3,533.7","3,762.6","3,546.3","3,726.8","4,158.9","3,594.2","2,962.2","3,212.6","3,035.2","2,976.9","2,974.6","2,912.2","2,989.6"
Lighting,586.7,579.7,584.8,360.2,374.0,364.1,388.4,436.5,359.3,297.7,326.1,311.2,308.9,305.1,300.6,308.0
Air compressors,386.7,382.0,385.6,236.6,244.8,239.4,255.9,287.8,235.4,195.2,214.1,204.6,203.3,200.5,197.8,202.6
Motor drives,808.3,800.5,806.8,511.4,538.4,514.9,544.8,610.0,515.6,426.0,464.1,440.5,434.3,431.7,423.9,434.8
Fans and pumps,239.4,236.5,236.4,146.9,159.0,146.8,152.8,169.7,151.3,124.3,134.0,125.7,122.4,123.2,120.1,123.5
Low enthalpy heat,597.7,589.3,593.4,356.0,368.6,360.0,384.7,432.7,354.3,293.7,322.1,307.8,305.8,301.7,252.5,259.7
Diesel oil (incl. biofuels),119.5,117.9,118.7,71.2,73.7,72.0,76.9,86.5,70.9,58.7,64.4,61.6,61.2,60.3,50.5,51.9
Natural gas (incl. biogas),189.6,186.4,187.0,108.1,112.2,109.2,116.5,130.9,107.8,89.3,97.8,93.4,92.7,91.5,76.7,78.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,288.5,285.0,287.8,176.7,182.7,178.8,191.2,215.2,175.7,145.7,159.9,152.8,152.0,149.8,125.3,128.9
Other Industrial sectors: Steam processing,"1,509.4","1,290.4","1,272.0",659.1,633.6,645.1,679.0,776.3,989.1,697.0,790.0,672.6,663.1,654.7,602.2,680.9
Solids,15.4,13.6,10.5,4.3,4.3,5.3,40.7,17.4,7.9,6.9,7.4,7.3,5.1,7.6,8.1,2.1
Refinery gas,0.0,0.0,0.0,22.2,0.0,16.5,36.8,39.4,25.0,46.7,53.4,53.7,35.5,22.8,59.6,79.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),89.1,90.0,75.2,98.4,87.7,78.7,69.4,86.8,263.9,76.9,128.0,64.7,60.6,58.0,39.2,37.4
Residual fuel oil,22.7,24.2,18.9,10.9,7.5,7.6,8.4,6.7,11.4,7.8,7.8,5.1,2.6,2.6,1.7,1.7
Other liquids,362.5,0.0,0.0,8.2,10.9,12.4,11.6,11.6,9.4,11.8,3.1,6.3,7.2,7.9,7.1,7.1
Natural gas (incl. biogas),378.6,526.3,538.0,270.6,253.9,265.4,247.2,321.4,365.9,278.3,349.2,278.2,291.3,298.2,264.8,272.1
Derived gases,13.7,12.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.7,0.5,0.5
Biomass,306.2,302.2,301.4,55.4,88.5,99.0,88.5,126.8,166.4,114.4,100.2,91.1,101.8,94.2,88.0,135.5
Steam distributed,321.2,322.1,316.6,189.0,180.7,160.3,176.4,166.1,139.2,154.2,140.9,166.0,158.6,162.7,133.3,145.4
Other Industrial sectors: Process heating,"1,093.8","1,065.9","1,039.4",549.3,689.0,537.8,523.7,578.0,590.9,457.4,488.7,442.2,419.6,458.1,471.3,476.2
Other Industrial sectors: Thermal processing,"1,007.9",981.0,953.5,495.7,633.6,483.5,465.6,512.6,537.6,413.2,440.2,395.8,373.5,412.6,426.4,430.3
Solids,47.8,60.6,63.2,88.2,197.3,78.6,49.9,55.8,57.3,50.0,51.4,63.1,49.1,63.9,59.3,56.8
LPG,220.9,223.8,159.9,30.0,29.5,17.8,17.5,67.4,44.4,33.9,42.9,13.0,20.5,13.7,16.2,13.4
Diesel oil (incl. biofuels),259.4,226.6,245.4,65.8,58.4,46.1,42.0,31.7,115.7,26.4,45.0,20.4,11.9,8.9,7.0,4.5
Residual fuel oil,12.4,14.3,12.4,9.6,12.4,12.4,7.6,9.6,3.8,1.9,1.9,1.9,0.0,1.0,1.9,1.0
Natural gas (incl. biogas),467.4,455.6,472.7,302.0,336.1,328.6,348.7,348.1,316.4,301.0,299.1,297.5,292.0,325.2,342.1,354.5
Other Industrial sectors: Electric processing,85.9,85.0,85.9,53.6,55.4,54.3,58.1,65.4,53.2,44.2,48.5,46.4,46.1,45.5,44.9,46.0
Other Industrial sectors: Drying,177.9,176.0,178.0,111.1,114.7,112.4,120.3,135.4,110.3,91.5,100.5,96.1,95.6,94.2,92.9,95.2
Other Industries: Thermal drying,53.4,52.8,53.4,33.3,34.4,33.7,36.1,40.6,33.1,27.5,30.1,28.8,28.7,28.3,27.9,28.6
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,29.6,30.0,21.4,0.9,1.3,0.9,1.2,8.0,4.0,3.5,4.4,1.3,2.6,1.7,1.4,0.6
Diesel oil (incl. biofuels),0.4,0.5,0.5,6.4,5.9,4.4,4.0,2.7,13.4,2.4,5.0,1.7,0.7,0.5,0.3,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),23.4,22.3,31.5,26.0,27.2,28.5,30.9,29.9,15.7,21.5,20.8,25.8,25.3,26.1,26.2,27.9
Other Industries: Steam drying,115.6,114.4,115.7,72.2,74.5,73.1,78.2,88.0,71.7,59.5,65.3,62.5,62.1,61.2,60.4,61.9
Solids,1.2,1.2,1.0,0.5,0.5,0.6,4.8,2.0,0.6,0.6,0.6,0.7,0.5,0.7,0.8,0.2
Refinery gas,0.0,0.0,0.0,2.5,0.0,1.9,4.3,4.5,1.8,4.1,4.5,5.1,3.4,2.2,6.1,7.5
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),6.9,8.0,6.9,10.9,10.6,9.1,8.2,10.0,19.4,6.8,10.8,6.2,5.7,5.5,4.0,3.5
Residual fuel oil,1.7,2.2,1.7,1.2,0.9,0.9,1.0,0.8,0.8,0.7,0.7,0.5,0.2,0.2,0.2,0.2
Other liquids,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.2
Natural gas (incl. biogas),29.1,46.8,49.1,30.1,30.6,30.7,29.0,37.1,26.9,24.6,29.5,26.5,27.6,28.2,27.0,25.8
Derived gases,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Biomass,23.5,26.9,27.5,6.2,10.6,11.4,10.4,14.6,12.0,9.0,7.3,8.2,9.6,8.9,8.8,11.0
Steam distributed,24.3,28.2,28.4,20.9,21.3,18.4,20.5,19.0,10.1,13.5,11.8,15.2,14.9,15.3,13.4,13.5
Other Industries: Electric drying,8.9,8.8,8.9,5.6,5.7,5.6,6.0,6.8,5.5,4.6,5.0,4.8,4.8,4.7,4.6,4.8
Other Industrial sectors: Process Cooling,92.0,91.0,92.1,57.5,59.3,58.1,62.2,70.0,57.1,47.3,52.0,49.7,49.4,48.7,48.1,49.2
Other Industries: Thermal cooling,4.6,4.6,4.6,2.9,3.0,2.9,3.1,3.5,2.9,2.4,2.6,2.5,2.5,2.4,2.4,2.5
Other Industries: Steam cooling,23.0,22.8,23.0,14.4,14.8,14.5,15.6,17.5,14.3,11.8,13.0,12.4,12.4,12.2,12.0,12.3
Solids,0.2,0.2,0.2,0.1,0.1,0.1,1.0,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0
Refinery gas,0.0,0.0,0.0,0.5,0.0,0.4,0.9,0.9,0.4,0.8,0.9,1.0,0.7,0.4,1.2,1.5
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),1.4,1.6,1.4,2.2,2.1,1.8,1.6,2.0,3.9,1.4,2.2,1.2,1.1,1.1,0.8,0.7
Residual fuel oil,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Other liquids,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),5.8,9.3,9.8,6.0,6.1,6.1,5.8,7.4,5.4,4.9,5.9,5.3,5.5,5.6,5.4,5.1
Derived gases,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,4.7,5.4,5.5,1.2,2.1,2.3,2.1,2.9,2.4,1.8,1.5,1.6,1.9,1.8,1.8,2.2
Steam distributed,4.8,5.6,5.7,4.2,4.2,3.7,4.1,3.8,2.0,2.7,2.3,3.0,3.0,3.0,2.7,2.7
Other Industries: Electric cooling,64.4,63.7,64.4,40.2,41.5,40.7,43.6,49.0,39.9,33.1,36.4,34.8,34.6,34.1,33.6,34.5
Other Industrial sectors: Diesel motors (incl. biofuels),323.6,293.2,266.1,42.4,32.9,31.7,27.8,27.4,36.8,19.3,18.7,17.1,14.7,12.5,10.5,10.3
Other Industrial sectors: Electric machinery,306.6,517.6,558.9,503.1,548.4,536.0,587.3,635.2,194.3,312.8,302.4,367.8,359.8,344.3,392.3,349.1
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Industrial Sectors,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,9.58%,9.63%,9.73%,10.19%,9.94%,10.27%,10.42%,10.50%,10.00%,10.05%,10.15%,10.25%,10.37%,10.26%,10.32%,10.30%
Air compressors,6.32%,6.34%,6.41%,6.70%,6.51%,6.75%,6.87%,6.92%,6.55%,6.59%,6.66%,6.74%,6.83%,6.74%,6.79%,6.78%
Motor drives,13.20%,13.29%,13.42%,14.47%,14.31%,14.52%,14.62%,14.67%,14.34%,14.38%,14.44%,14.51%,14.59%,14.51%,14.56%,14.54%
Fans and pumps,3.91%,3.93%,3.93%,4.16%,4.22%,4.14%,4.10%,4.08%,4.21%,4.20%,4.17%,4.14%,4.11%,4.14%,4.12%,4.13%
Low enthalpy heat,9.76%,9.78%,9.87%,10.07%,9.80%,10.15%,10.32%,10.40%,9.86%,9.92%,10.03%,10.14%,10.27%,10.14%,8.67%,8.69%
Other Industrial sectors: Steam processing,24.66%,21.43%,21.15%,18.65%,16.84%,18.19%,18.22%,18.67%,27.52%,23.53%,24.59%,22.16%,22.27%,22.01%,20.68%,22.77%
Other Industrial sectors: Process heating,17.87%,17.70%,17.28%,15.54%,18.31%,15.16%,14.05%,13.90%,16.44%,15.44%,15.21%,14.57%,14.10%,15.40%,16.18%,15.93%
Other Industrial sectors: Thermal processing,16.46%,16.29%,15.86%,14.03%,16.84%,13.63%,12.49%,12.33%,14.96%,13.95%,13.70%,13.04%,12.55%,13.87%,14.64%,14.39%
Other Industrial sectors: Electric processing,1.40%,1.41%,1.43%,1.52%,1.47%,1.53%,1.56%,1.57%,1.48%,1.49%,1.51%,1.53%,1.55%,1.53%,1.54%,1.54%
Other Industrial sectors: Drying,2.91%,2.92%,2.96%,3.14%,3.05%,3.17%,3.23%,3.26%,3.07%,3.09%,3.13%,3.17%,3.21%,3.17%,3.19%,3.18%
Other Industries: Thermal drying,0.87%,0.88%,0.89%,0.94%,0.91%,0.95%,0.97%,0.98%,0.92%,0.93%,0.94%,0.95%,0.96%,0.95%,0.96%,0.96%
Other Industries: Steam drying,1.89%,1.90%,1.92%,2.04%,1.98%,2.06%,2.10%,2.12%,1.99%,2.01%,2.03%,2.06%,2.09%,2.06%,2.07%,2.07%
Other Industries: Electric drying,0.15%,0.15%,0.15%,0.16%,0.15%,0.16%,0.16%,0.16%,0.15%,0.15%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%
Other Industrial sectors: Process Cooling,1.50%,1.51%,1.53%,1.63%,1.58%,1.64%,1.67%,1.68%,1.59%,1.60%,1.62%,1.64%,1.66%,1.64%,1.65%,1.65%
Other Industries: Thermal cooling,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Other Industries: Steam cooling,0.38%,0.38%,0.38%,0.41%,0.39%,0.41%,0.42%,0.42%,0.40%,0.40%,0.40%,0.41%,0.42%,0.41%,0.41%,0.41%
Other Industries: Electric cooling,1.05%,1.06%,1.07%,1.14%,1.10%,1.15%,1.17%,1.18%,1.11%,1.12%,1.13%,1.15%,1.16%,1.15%,1.16%,1.15%
Other Industrial sectors: Diesel motors,5.29%,4.87%,4.42%,1.20%,0.87%,0.89%,0.75%,0.66%,1.02%,0.65%,0.58%,0.56%,0.49%,0.42%,0.36%,0.34%
Other Industrial sectors: Electric machinery,5.01%,8.60%,9.29%,14.24%,14.57%,15.12%,15.76%,15.27%,5.41%,10.56%,9.41%,12.12%,12.09%,11.57%,13.47%,11.68%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Industrial Sectors,119.01,117.14,116.54,109.16,110.28,107.96,106.62,106.25,108.24,106.31,104.64,101.42,99.97,99.32,98.42,96.21
Lighting,11.41,11.28,11.33,11.13,10.96,11.08,11.11,11.15,10.82,10.68,10.62,10.40,10.37,10.19,10.16,9.91
Air compressors,7.52,7.43,7.47,7.31,7.18,7.29,7.32,7.35,7.09,7.00,6.97,6.84,6.83,6.70,6.68,6.52
Motor drives,15.71,15.57,15.64,15.80,15.78,15.67,15.59,15.58,15.53,15.29,15.12,14.72,14.59,14.41,14.33,13.99
Fans and pumps,4.65,4.60,4.58,4.54,4.66,4.47,4.37,4.34,4.56,4.46,4.36,4.20,4.11,4.11,4.06,3.97
Low enthalpy heat,11.62,11.46,11.50,11.00,10.80,10.96,11.01,11.05,10.67,10.54,10.49,10.28,10.27,10.07,8.53,8.36
Other Industrial sectors: Steam processing,29.34,25.10,24.65,20.36,18.57,19.64,19.42,19.83,29.79,25.01,25.73,22.48,22.27,21.86,20.35,21.91
Other Industrial sectors: Process heating,21.26,20.73,20.14,16.97,20.19,16.37,14.98,14.77,17.79,16.42,15.92,14.78,14.09,15.29,15.93,15.33
Other Industrial sectors: Drying,3.46,3.42,3.45,3.43,3.36,3.42,3.44,3.46,3.32,3.28,3.27,3.21,3.21,3.14,3.14,3.06
Other Industrial sectors: Process Cooling,1.79,1.77,1.78,1.77,1.74,1.77,1.78,1.79,1.72,1.70,1.69,1.66,1.66,1.63,1.62,1.58
Other Industrial sectors: Diesel motors,6.29,5.70,5.16,1.31,0.96,0.96,0.80,0.70,1.11,0.69,0.61,0.57,0.49,0.42,0.36,0.33
Other Industrial sectors: Electric machinery,5.96,10.07,10.83,15.54,16.07,16.32,16.80,16.23,5.85,11.23,9.85,12.29,12.08,11.50,13.26,11.24
